Key,model,generated
slab_agate_agata_black_043e2e2e-83af-4986-8a1a-fddedd69e70b,legacy,
slab_agate_agata_blue_689b4192-d88b-43ab-bebf-e255e1d1a779,legacy,
slab_agate_antique_blue_c129fc93-4c9b-431f-8293-9958586ba8bd,legacy,
slab_agate_antique_blue_jumbo_990b4e8f-eed4-4302-9328-a51c282ccc7c,legacy,
slab_agate_black_jumbo_c846f9d2-8c8a-490c-ae62-7ee2f12f981f,legacy,
slab_agate_blue_jumbo_6f05b588-ea50-484b-a938-c09ddd6647d5,legacy,
slab_agate_earth_jumbo_94b4dcd9-4598-4eef-b65b-c52dac40eec1,legacy,
slab_agate_green_49cbc366-250f-484a-8179-7c89a94f41cc,legacy,
slab_agate_jasper_25a8ea14-bc36-4910-b231-5cab91069c9e,legacy,
slab_agate_jellyfish_b1dca5e5-e9e3-4536-988e-2f9fd57d5e2e,legacy,
slab_agate_natural_classic_jumbo_5edfd6c6-7c8e-4542-b50c-f9517992f0b4,legacy,
slab_agate_oro_vecchio_mosaic_abdb908f-e654-41c9-a7b6-40d5de1caec9,legacy,
slab_agate_pink_9356ed9d-b83d-4ca4-9332-ea64ffda1582,legacy,
slab_agate_red_66d0649b-c59a-4fbe-bd82-3b7f50538a28,legacy,
slab_agate_red_mosaic_56bc291f-f3a3-4f65-bf1e-7180b83622af,legacy,
slab_alabaster_angel_pink_6f8ca262-f2e7-4541-8971-18d465923e0c,legacy,
slab_alabaster_carlotta_seafoam_4fb254fb-fb3d-4aa4-ba1d-a46ac577bcd6,legacy,
slab_alabaster_colorado_7cd874ce-2591-4cfc-9581-e8015a787195,legacy,
slab_alabaster_cotton_a1f7a520-1ad4-4719-aec4-57ff39c6e06d,legacy,
slab_alabaster_egyptian_beige_ff6ec971-f0e2-417b-a929-b2ef05d7fa8b,legacy,
slab_alabaster_egyptian_white_dd742343-ccb4-4fce-b801-19a8c0ac995b,legacy,
slab_alabaster_golden_comb_b84fef32-6edf-4a78-ad21-99a011d9bd46,legacy,
slab_alabaster_groga_ba586edc-606d-43b1-bc81-633bc44d5f8b,legacy,
slab_alabaster_harvest_gold_3c61686c-9d20-4eb3-ac5d-273b89b082dc,legacy,
slab_alabaster_indian_red_6c664e73-d7cd-4a44-aca0-b914d3ec666a,legacy,
slab_alabaster_mexico_white_ff84c783-dec9-4d55-b2a4-0d1fb1923767,legacy,
slab_alabaster_new_mexico_cream_c81084ea-3d99-48da-bb24-e9641cf4833c,legacy,
