category,value,sourceid
color,Beige,01KTW3RXZJAJSJKWPVGX0N3R2Q
color,Black,01KTW3S8VRXH6SZW1NDZ2S1570
color,Blue,01KTW3SJMJ61WHYKGYG28CVDJM
color,Bordeaux,01KTW3SVK9KP66D0VGREYEM6DT
color,Bronze,01KTW3T42YRTFN77H6HGT7GGAN
color,Brown,01KTW3TCNTWH1915CY2HMWJTPS
color,Copper,01KTW3TP902HSBN703TTV5GWXK
color,Cream,01KTW3TZ1VSTWWN480DC5YCC44
color,Gold,01KTW3V7PQA7ZKCFC7FJP9R467
color,Golden,01KTW3VGQ21SJ9PHH31RG5P5YZ
color,Green,01KTW3VSATZZK328EM3PJ74C2J
color,Grey,01KTW3W1E4D3C78D3KB9FTD3BX
color,Ivory,01KTW3WM38VHBSF086SK8ZH7G5
color,Lilac,01KTW3WXZBBGKN0WNFNW185FNJ
color,Multicolor,01KTW3X658XR0RMD1H3KA2QP6H
color,Orange,01KTW3XHH1256Z00EXFAEQPFM6
color,Pink,01KTW3XVAZWD6DJ4WB0C09KKZ9
color,Purple,01KTW3Y3YTR7R2C3RYDKJQNMXG
color,Red,01KTW3YCXJYXM8807WDSHZ2M9G
color,Rose,01KTW3YPTXYXPF4X6VFY1EB82V
color,Semi,01KTW3ZC47XGETKAYMVMEX055F
color,Silver,01KTW3ZR722DF3MT6MAYA6M3V4
color,White,01KTW402GT8JT3F8H6RY67DEXH
color,Yellow,01KTW40BGCEVB5AR44EYKWVBGW
color,Orchid,01KVNHR014TSHKJSHX9JPS235D
finish,Acid Washed,01KTW2BDMWNA0QQR9X8DXPX4XV
finish,Antique,01KTW2C30326RST85RTYYS5BS5
finish,Brushed,01KTW2CPZWY3X4WEFYSW0XJSEC
finish,Brushed and Filled,01KTW2D4S111WMQ7T81W6WJY11
finish,Brushed and Tumbled,01KTW2DGR5X7NDJ421WV7FCYFH
finish,Brushed and Unfilled,01KTW2DWKWB5E6J6AE6BKZWNNG
finish,Bush Hammered,01KTW2E9EN24AD0QGDV50J2W95
finish,Bush Hammered and Brushed,01KTW2EMW4B7ECJB2SA4K9VKTT
finish,Carved,01KTW2F1A8TG7TCQ58VR7RQH54
finish,Chiseled,01KTW2FCVARPZK5YJG5R7Z0420
finish,Filled,01KTW2FR01298RJT85TP7NRWC4
finish,Flamed,01KTW2G4TTENRQZ1AZQH4SQNPZ
finish,Flamed and Brushed,01KTW2GFFZ9BN6QK6VKV415G7S
finish,Flamed and Waterjet,01KTW2GV4STT9BWVFGVJN242TG
finish,Honed,01KTW2J6VENNTEZ2P4MC6SFMK7
finish,Honed and Brushed,01KTW2JJF1GF29MTB34ZCFA36T
finish,Honed and Filled,01KTW2JY2NSTY52YNZF2Z2K1XQ
finish,Honed and Unfilled,01KTW2KAK6XG8S7CYA6QWF4SDN
finish,Leathered,01KTW2KQRVREDX02A09K2XYQ8W
finish,Natural Cleft,01KTW2M2FJCXQ9VAM9GWAPGFYK
finish,Oiled,01KTW2MD1S2CMDF9DH7WTBEMPB
finish,Polished,01KTW2MTB07XMV9G8JBP3D7EX7
finish,Polished and Filled,01KTW2N9ERFMRBDRXGJNEA9E67
finish,Polished and Unfilled,01KTW2NM1QFYNN4MAN23AJ4RMY
finish,Raw,01KTW2NYWADDZ4W3B2H9SZC5AM
finish,Sandblasted,01KTW2P8J6A99JG6SM3BC1ZF3K
finish,Sandblasted and Brushed,01KTW2PKWB1JTDSHCJWTA3N6V2
finish,Sandblasted and Filled,01KTW2Q1GSNPXHNYVF0P3DDE24
finish,Sandblasted and Unfilled,01KTW2Q996EY4GJZ2DEN95TSZM
finish,Sanded,01KTW2QT15QT1PA1AKHAB0CSET
finish,Sawn Cut,01KTW2R5CHBDTW4NSK65F55ZDM
finish,Shotblasted,01KTW2RJJ22P5T2502VJ52GT9V
finish,Split Face,01KTW2RY2YK3N4ZASNE3KWY01Z
finish,Thermal,01KTW2S7RB56EXS2FWS8EFE4MR
finish,Tumbled,01KTW2SH4YJH9DXVCER9WBN14F
finish,Tumbled and Unfilled,01KTW2STAEKA24WT7YEECVBZHT
finish,Unfilled,01KTW2T4RF6BSB1MGXYFQQSFT3
