product_id,name,slug,permalink,sku,material,color,finish,thickness,size,dimensions_length,dimensions_height,stock_m2,slab_count,categories,is_in_stock,stock_status,image_urls_thumb,format,image_urls,scrape_timestamp
26040,Instock Slabs – Atlantic Stone – Bookmatched – 256.054m²,instock-slabs-atlantic-stone-bookmatched-256-054m,https://stone.fuleistone.com/product/instock-slabs-atlantic-stone-bookmatched-256-054m/,,Marble,Grey,Bookmatched | Honed / Matte,20mm,3280mm x 1830mm x 20mm,3280,1830,256.054,43,Live Inventory (Slabs) | All | P_02 | Stone Slabs,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2023/06/6410-2-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2023/06/6410-1-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2023/06/6410-2.jpg | https://stone.fuleistone.com/wp-content/uploads/2023/06/6410-1.jpg,20260812_000000
26038,Instock Slabs – Atlantic Stone – Bookmatched – 181.173m²,instock-slabs-atlantic-stone-bookmatched-181-173m,https://stone.fuleistone.com/product/instock-slabs-atlantic-stone-bookmatched-181-173m/,,Marble,Grey,Bookmatched | Honed / Matte,20mm,3150mm x 1580mm x 20mm,3150,1580,181.173,37,Live Inventory (Slabs) | All | P_02 | Stone Slabs,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2023/06/63202-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2023/06/63201-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2023/06/63202.jpg | https://stone.fuleistone.com/wp-content/uploads/2023/06/63201.jpg,20260812_000000
23868,Instock Slabs – Yellow Louise Quartzite – Bookmatched – 431.762m²,instock-slabs-yellow-louise-quartzite-bookmatched-43,https://stone.fuleistone.com/product/instock-slabs-yellow-louise-quartzite-bookmatched-43/,,Marble | Quartzite,Gold / Yellow | Multi-Color,Bookmatched | Polished,18mm,3316mm x 2900mm x 18mm,3316,2900,431.762,67,Live Inventory (Slabs) | All | P_02 | Stone Slabs,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2023/02/Yellow-Louise-Quartzite-1017-2-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2023/02/Yellow-Louise-Quartzite-1017-1-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2023/02/Yellow-Louise-Quartzite-1017-2.jpg | https://stone.fuleistone.com/wp-content/uploads/2023/02/Yellow-Louise-Quartzite-1017-1.jpg,20260812_000000
21464,Luxury Polished Pink Crystal Agate Slab,luxury-polished-pink-crystal-agate-slab,https://stone.fuleistone.com/product/luxury-polished-pink-crystal-agate-slab/,,Agate Onyx,Red / Pink,Polished,18mm | 20mm | 30mm | Other Customized Thickness,Rough Slab Size,,,,,Stone Slabs | All | P_06,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2021/04/polished-pink-crystal-agate-3-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2021/04/polished-pink-crystal-agate-2-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2021/04/polished-pink-crystal-agate-3.jpg | https://stone.fuleistone.com/wp-content/uploads/2021/04/polished-pink-crystal-agate-2.jpg,20260812_000000
37216,Yellow Crystal Semi-precious Stone Slabs,yellow-crystal-semi-precious-stone-slabs,https://stone.fuleistone.com/product/yellow-crystal-semi-precious-stone-slabs/,,Semi-Precious Stone,Gold / Yellow,Polished,18mm,Rough Slab Size,,,,,Stone Slabs | All | P_05,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs1-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs6-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs5-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs2-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs3-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs4-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs1.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs6.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs5.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs2.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs3.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/08/Yellow-Crystal-Semi-Precious-Stone-Slabs4.jpg,20260812_000000
22283,Instock Slabs – Patagonia Granite – Bookmatched – 268.415m²,instock-slabs-patagonia-granite-bookmatched-268-415,https://stone.fuleistone.com/product/instock-slabs-patagonia-granite-bookmatched-268-415/,,Granite,Gold / Yellow | Multi-Color | White,Bookmatched | Polished,20mm,3200mm x 1870mm x 20mm,3200,1870,268.415,45,Live Inventory (Slabs) | All | P_02 | Stone Slabs,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2021/10/Instock-Slabs-Patagonia-Granite-Bookmatched-268.415-1-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2021/10/Instock-Slabs-Patagonia-Granite-Bookmatched-268.415-2-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2021/10/Instock-Slabs-Patagonia-Granite-Bookmatched-268.415-1.jpg | https://stone.fuleistone.com/wp-content/uploads/2021/10/Instock-Slabs-Patagonia-Granite-Bookmatched-268.415-2.jpg,20260812_000000
19307,Instock Slabs – Tiger Onyx – Bookmatched – 398.361m²,instock-slabs-tiger-onyx-bookmatched-398-361,https://stone.fuleistone.com/product/instock-slabs-tiger-onyx-bookmatched-398-361/,,Onyx,Red / Pink,Polished,18mm,,,,398.361,77,Live Inventory (Slabs) | All | P_02 | Stone Slabs,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2020/12/Instock-Slabs-Tiger-Onyx-Bookmatched-398.361-1-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2020/12/Instock-Slabs-Tiger-Onyx-Bookmatched-398.361-2-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2020/12/Instock-Slabs-Tiger-Onyx-Bookmatched-398.361-1.jpg | https://stone.fuleistone.com/wp-content/uploads/2020/12/Instock-Slabs-Tiger-Onyx-Bookmatched-398.361-2.jpg,20260812_000000
23781,Instock Slabs – Invisible Grey – Bookmatched – 214.92m²,instock-slabs-invisible-grey-bookmatched-214923m,https://stone.fuleistone.com/product/instock-slabs-invisible-grey-bookmatched-214923m/,,Marble,Grey | Multi-Color,Bookmatched | Polished,18mm,2500mm x 1640mm x 18mm,2500,1640,214.92,53,Live Inventory (Slabs) | All | P_02 | Stone Slabs,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2023/02/22-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2023/02/11-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2023/02/22.jpg | https://stone.fuleistone.com/wp-content/uploads/2023/02/11.jpg,20260812_000000
20538,Instock Slabs – Nesto Marble – Bookmatched – 174.929m²,instock-slabs-nesto-marble-bookmatched-174-929,https://stone.fuleistone.com/product/instock-slabs-nesto-marble-bookmatched-174-929/,,Marble,White | Wooden,Bookmatched | Polished,18mm,,,,174.929,44,Live Inventory (Slabs) | All | P_02 | Stone Slabs,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2021/01/Instock-Slabs-Nesto-Marble-Bookmatched-174.929-1-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2021/01/Instock-Slabs-Nesto-Marble-Bookmatched-174.929-2-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2021/01/Instock-Slabs-Nesto-Marble-Bookmatched-174.929-1.jpg | https://stone.fuleistone.com/wp-content/uploads/2021/01/Instock-Slabs-Nesto-Marble-Bookmatched-174.929-2.jpg,20260812_000000
23713,Instock Slabs – Sodalite Blue – Bookmatched – 237.3133m²,instock-slabs-sodalite-blue-bookmatched-237-3133m,https://stone.fuleistone.com/product/instock-slabs-sodalite-blue-bookmatched-237-3133m/,,Granite,Blue,Bookmatched | Polished,15mm,2850mm x 1770mm x 15mm,2850,1770,237.3133,46,Live Inventory (Slabs) | All | P_02 | Stone Slabs,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2022/11/22-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2022/11/12-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2022/11/22.jpg | https://stone.fuleistone.com/wp-content/uploads/2022/11/12.jpg,20260812_000000
37053,London Grey Marble Slab,london-grey-marble-slab,https://stone.fuleistone.com/product/london-grey-marble-slab/,,Marble,Grey,Brushed | Polished,18mm | 20mm | 30mm | Other Customized Thickness,Rough Slab Size,,,,,Stone Slabs | All | P_06,True,in-stock,https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-6-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-5-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-4-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-3-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-2-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-1-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-8-488x366.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-7-488x366.jpg,slab,https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-6.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-5.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-4.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-3.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-2.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-1.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-8.jpg | https://stone.fuleistone.com/wp-content/uploads/2026/06/London-Grey-marble-7.jpg,20260812_000000
