bundle_id,product_name_en,product_name_pt,product_full_name,detail_url,family,classification,thickness,finish,block,height_m,height_in,length_m,length_in,area_m2,area_ft2,weight_kg_net,weight_kg_gross,slab_count,slab_sequence,unit_price_usd_per_ft2,total_price_usd,currency,water_absorption,apparent_density,compressive_strength,flexural_strength,description,situation,situation_real,situation_commercial,location_code,days_in_stock,date_available,last_modified,image_count,image_filenames,image_urls,video_url,scrape_timestamp
BD00183415,Acadian Night,CIN Granito Preto Rio Negro 2cm,Acadian Night | Premium | 2cm,https://inventory.zucchistones.com/product?Acadian-Night-BD00183415,Granite,Premium,2cm,Polished and Resined,203708,1.76,69.29,3.15,124.02,44.352,477.405,2613.9,2715.9,8,"9,10,11,12,13,14,15,16",6.04,2883.53,USD,0.31,2790.0,49.68,0.0,"Acadian Night is an enchanting black granite with a special blend of deep gold and white veins. It is always contemporary, sophisticated, exotic and also affordable stone which resembles a perfectly painted starlit night sky.",Disponível,Disponível,Padrão,G5B019,255,2025-09-02,2026-05-04T14:33:27.000Z,1,BD00183415_1.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/BD00183415.jpg,,2026-05-05 09:07:35
BD00183437,Acadian Night,CIN Granito Preto Rio Negro 2cm,Acadian Night | Premium | 2cm,https://inventory.zucchistones.com/product?Acadian-Night-BD00183437,Granite,Premium,2cm,Polished and Resined,203883,1.88,74.02,3.19,125.59,47.976,516.414,2880.7,2982.7,8,"1,2,3,4,5,6,7,8",6.04,3119.14,USD,0.31,2790.0,49.68,0.0,"Acadian Night is an enchanting black granite with a special blend of deep gold and white veins. It is always contemporary, sophisticated, exotic and also affordable stone which resembles a perfectly painted starlit night sky.",Disponível,Disponível,Padrão,M3BF11,253,2025-08-29,2026-04-28T13:27:50.000Z,2,BD00183437_1.jpg | BD00183437_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/BD00183437.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/BD00183437.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/BD00183437.mp4,2026-05-05 09:07:35
BD00183438,Acadian Night,CIN Granito Preto Rio Negro 2cm,Acadian Night | Premium | 2cm,https://inventory.zucchistones.com/product?Acadian-Night-BD00183438,Granite,Premium,2cm,Polished and Resined,203883,1.88,74.02,3.175,125.0,47.752,514.003,2815.7,2917.7,8,"9,10,11,12,14,15,16,17",6.04,3104.58,USD,0.31,2790.0,49.68,0.0,"Acadian Night is an enchanting black granite with a special blend of deep gold and white veins. It is always contemporary, sophisticated, exotic and also affordable stone which resembles a perfectly painted starlit night sky.",Disponível,Disponível,Padrão,M3B011,253,2025-08-29,2026-04-28T13:27:50.000Z,2,BD00183438_1.jpg | BD00183438_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/BD00183438.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/BD00183438.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/BD00183438.mp4,2026-05-05 09:07:35
BD00183439,Acadian Night,CIN Granito Preto Rio Negro 2cm,Acadian Night | Premium | 2cm,https://inventory.zucchistones.com/product?Acadian-Night-BD00183439,Granite,Premium,2cm,Polished and Resined,203883,1.88,74.02,3.147,123.9,47.323,509.385,2682.4,2784.4,8,"18,19,20,21,22,24,25,26",6.04,3076.69,USD,0.31,2790.0,49.68,0.0,"Acadian Night is an enchanting black granite with a special blend of deep gold and white veins. It is always contemporary, sophisticated, exotic and also affordable stone which resembles a perfectly painted starlit night sky.",Disponível,Disponível,Padrão,G5B019,253,2025-08-29,2026-04-28T19:04:35.000Z,2,BD00183439_1.jpg | BD00183439_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/BD00183439.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/BD00183439.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/BD00183439.mp4,2026-05-05 09:07:35
BD00183440,Acadian Night,CIN Granito Preto Rio Negro 2cm,Acadian Night | Premium | 2cm,https://inventory.zucchistones.com/product?Acadian-Night-BD00183440,Granite,Premium,2cm,Polished and Resined,203883,1.88,74.02,3.16,124.41,53.46,575.443,2882.2,2984.2,9,"27,28,29,30,31,32,33,34,35",6.04,3475.68,USD,0.31,2790.0,49.68,0.0,"Acadian Night is an enchanting black granite with a special blend of deep gold and white veins. It is always contemporary, sophisticated, exotic and also affordable stone which resembles a perfectly painted starlit night sky.",Disponível,Disponível,Padrão,G5B019,253,2025-08-29,2026-04-28T19:04:35.000Z,2,BD00183440_1.jpg | BD00183440_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/BD00183440.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/BD00183440.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/BD00183440.mp4,2026-05-05 09:07:35
BD00173430,Acquamare,CIN Quartzito Verde Acquamare 2cm,Acquamare | Premium | 2cm,https://inventory.zucchistones.com/product?Acquamare-BD00173430,Quartzite,Premium,2cm,Polished and Resined,205008,1.91,75.2,3.06,120.47,58.45,629.156,3234.1,3336.1,10,"1,2,3,4,5,6,7,8,9,10",16.26,10230.08,USD,,,,,"Acquamare, a mesmerizing green quartzite, captivates with its tranquil and refreshing hue. This stone, reminiscent of the serene depths of clear waters, brings a sense of calm and rejuvenation to any space. Whether used as a countertop, flooring, or in other design applications, Acquamare imbues a touch of nature's soothing beauty, making it an ideal choice for those seeking a serene and revitalizing environment. Explore the tranquility of Acquamare and let its refreshing essence transform your surroundings.",Disponível,Disponível,Promocional,G5A038,544,2024-11-19,2026-04-28T13:47:25.000Z,2,BD00173430_1.jpg | BD00173430_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/173430.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/173430.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/173430.mp4,2026-05-05 09:07:35
BD00173431,Acquamare,CIN Quartzito Verde Acquamare 2cm,Acquamare | Premium | 2cm,https://inventory.zucchistones.com/product?Acquamare-BD00173431,Quartzite,Premium,2cm,Polished and Resined,205008,1.91,75.2,3.06,120.47,58.45,629.156,3267.8,3369.8,10,"11,12,13,14,15,16,17,18,21,22",16.26,10230.08,USD,,,,,"Acquamare, a mesmerizing green quartzite, captivates with its tranquil and refreshing hue. This stone, reminiscent of the serene depths of clear waters, brings a sense of calm and rejuvenation to any space. Whether used as a countertop, flooring, or in other design applications, Acquamare imbues a touch of nature's soothing beauty, making it an ideal choice for those seeking a serene and revitalizing environment. Explore the tranquility of Acquamare and let its refreshing essence transform your surroundings.",Disponível,Disponível,Promocional,G5B033,544,2024-11-19,2026-04-28T13:47:25.000Z,2,BD00173431_1.jpg | BD00173431_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/173431.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/173431.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/173431.mp4,2026-05-05 09:07:35
BD00173432,Acquamare,CIN Quartzito Verde Acquamare 2cm,Acquamare | Premium | 2cm,https://inventory.zucchistones.com/product?Acquamare-BD00173432,Quartzite,Premium,2cm,Polished and Resined,205008,1.91,75.2,3.06,120.47,58.45,629.156,3203.0,3305.0,10,"23,24,25,26,27,28,29,30,31,32",16.26,10230.08,USD,,,,,"Acquamare, a mesmerizing green quartzite, captivates with its tranquil and refreshing hue. This stone, reminiscent of the serene depths of clear waters, brings a sense of calm and rejuvenation to any space. Whether used as a countertop, flooring, or in other design applications, Acquamare imbues a touch of nature's soothing beauty, making it an ideal choice for those seeking a serene and revitalizing environment. Explore the tranquility of Acquamare and let its refreshing essence transform your surroundings.",Disponível,Disponível,Promocional,G5B033,544,2024-11-19,2026-04-28T13:47:25.000Z,2,BD00173432_1.jpg | BD00173432_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/173432.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/173432.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/173432.mp4,2026-05-05 09:07:35
BD00181152,Acquamare,CIN Quartzito Verde Acquamare 3cm,Acquamare | Premium | 3cm,https://inventory.zucchistones.com/product?Acquamare-BD00181152,Quartzite,Premium,3cm,Polished and Resined,205577,1.88,74.02,3.306,130.16,43.508,468.32,3563.5,3665.5,7,"29,30,31,32,33,34,35",21.5,10068.88,USD,,,,,"Acquamare, a mesmerizing green quartzite, captivates with its tranquil and refreshing hue. This stone, reminiscent of the serene depths of clear waters, brings a sense of calm and rejuvenation to any space. Whether used as a countertop, flooring, or in other design applications, Acquamare imbues a touch of nature's soothing beauty, making it an ideal choice for those seeking a serene and revitalizing environment. Explore the tranquility of Acquamare and let its refreshing essence transform your surroundings.",Disponível,Disponível,Promocional,M3A004,308,2025-07-07,2026-04-30T14:13:36.000Z,2,BD00181152_1.jpg | BD00181152_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/BD00181152.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/BD00181152.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/BD00181152.mp4,2026-05-05 09:07:35
BD00181154,Acquamare,CIN Quartzito Verde Acquamare 3cm,Acquamare | Premium | 3cm,https://inventory.zucchistones.com/product?Acquamare-BD00181154,Quartzite,Premium,3cm,Polished and Resined,205577,1.88,74.02,3.306,130.16,43.508,468.32,3558.9,3660.9,7,"22,23,24,25,26,27,28",21.5,10068.88,USD,,,,,"Acquamare, a mesmerizing green quartzite, captivates with its tranquil and refreshing hue. This stone, reminiscent of the serene depths of clear waters, brings a sense of calm and rejuvenation to any space. Whether used as a countertop, flooring, or in other design applications, Acquamare imbues a touch of nature's soothing beauty, making it an ideal choice for those seeking a serene and revitalizing environment. Explore the tranquility of Acquamare and let its refreshing essence transform your surroundings.",Disponível,Disponível,Promocional,M3A004,308,2025-07-07,2026-05-04T16:31:35.000Z,2,BD00181154_1.jpg | BD00181154_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/BD00181154.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/BD00181154.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/BD00181154.mp4,2026-05-05 09:07:35
BD00181155,Acquamare,CIN Quartzito Verde Acquamare 3cm,Acquamare | Premium | 3cm,https://inventory.zucchistones.com/product?Acquamare-BD00181155,Quartzite,Premium,3cm,Polished and Resined,205577,1.88,74.02,3.308,130.24,43.53,468.557,3548.7,3650.7,7,"15,16,17,18,19,20,21",21.5,10073.98,USD,,,,,"Acquamare, a mesmerizing green quartzite, captivates with its tranquil and refreshing hue. This stone, reminiscent of the serene depths of clear waters, brings a sense of calm and rejuvenation to any space. Whether used as a countertop, flooring, or in other design applications, Acquamare imbues a touch of nature's soothing beauty, making it an ideal choice for those seeking a serene and revitalizing environment. Explore the tranquility of Acquamare and let its refreshing essence transform your surroundings.",Disponível,Disponível,Promocional,M3A004,308,2025-07-07,2026-05-04T16:31:35.000Z,2,BD00181155_1.jpg | BD00181155_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/BD00181155.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/BD00181155.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/BD00181155.mp4,2026-05-05 09:07:35
BD00181156,Acquamare,CIN Quartzito Verde Acquamare 3cm,Acquamare | Premium | 3cm,https://inventory.zucchistones.com/product?Acquamare-BD00181156,Quartzite,Premium,3cm,Polished and Resined,205577,1.897,74.69,3.307,130.2,43.919,472.744,3525.3,3627.3,7,"1,2,3,4,5,6,7",21.5,10164.0,USD,,,,,"Acquamare, a mesmerizing green quartzite, captivates with its tranquil and refreshing hue. This stone, reminiscent of the serene depths of clear waters, brings a sense of calm and rejuvenation to any space. Whether used as a countertop, flooring, or in other design applications, Acquamare imbues a touch of nature's soothing beauty, making it an ideal choice for those seeking a serene and revitalizing environment. Explore the tranquility of Acquamare and let its refreshing essence transform your surroundings.",Disponível,Disponível,Promocional,M3A004,308,2025-07-07,2026-04-30T14:13:36.000Z,2,BD00181156_1.jpg | BD00181156_2.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo1__c/BD00181156.jpg | https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriFo2__c/BD00181156.jpg,https://d1vjwtwi5ituin.cloudfront.net/imagens_sf/ItemEstoque__c/UriVid__c/BD00181156.mp4,2026-05-05 09:07:35
