match_type,pattern,country_iso,city,county
variety,Agata Black,BR,,
variety,Agata Blue,BR,,
variety,Antique Blue,BR,,
variety,Antique Blue Jumbo,BR,,
variety,Black Jumbo,BR,,
variety,Blue Jumbo,BR,,
variety,Earth Jumbo,BR,,
variety,Green,CN,,
variety,Jasper,BR,,
variety,Jellyfish,BR,,
variety,Natural Classic Jumbo,BR,,
variety,Oro Vecchio Mosaic,BR,,
variety,Pink,BR,,
variety,Red,BR,,
variety,Red Mosaic,BR,,
variety,Angel Pink,US,,
variety,Carlotta Seafoam,US,,
variety,Colorado,US,,
variety,Cotton,IR,,
variety,Egyptian Beige,EG,,
variety,Egyptian White,EG,,
variety,Golden Comb,US,,
variety,Groga,ES,,
variety,Harvest Gold,US,,
variety,Indian Red,US,,
variety,Mexico White,MX,,
variety,New Mexico Cream,US,,
variety,Persian Beige,IR,,
variety,Persian Blue,IR,,
variety,Persian Brown,IR,,
variety,Persian Green,IR,,
variety,Persian Grey,IR,,
variety,Persian White,IR,,
variety,Persian Yellow,IR,,
variety,Princess Carlotta Green,US,,
variety,Purple,US,,
variety,Red Raspberry,US,,
variety,Silk,IR,,
variety,Silvercloud,US,,
variety,Sotenal,ES,,
variety,Spotted Comb,US,,
variety,Tigereye,US,,
variety,Translucent Orange,US,,
variety,Amethyst,BR,,
variety,Aliaga Red,TR,,
variety,Angora,TR,,
variety,Ankara,TR,,
variety,Artik,AM,,
variety,Azarshahr Grey,IR,,
variety,Batu,ID,,
variety,Black Sea,TR,,
variety,Carbon Grey,CN,,
variety,China Black,CN,,
variety,Ds Gold,TR,,
variety,Ds Sina,TR,,
variety,Fujian,CN,,
variety,Georgia Brown,GE,,
variety,Golbasi,TR,,
variety,Horgita,PL,,
variety,Indonesia Black,ID,,
variety,Indonesia Grey,ID,,
variety,Indonesia Red,ID,,
variety,Iran Pink,IR,,
variety,Kayseri Grey,TR,,
variety,Leith,NZ,,
variety,Lydia Ash,TR,,
variety,Majdan Visoka,RS,,
variety,Marron Las Monjas,ES,,
variety,Nghe an Volcanic,VN,,
variety,Pietroasa,RO,,
variety,Recinto Black,MX,,
variety,Romania Grey,RO,,
variety,Sahara Purple,CN,,
variety,Sahara Rose,CN,,
variety,Shirakawa,JP,,
variety,Slovakia Grey,SK,,
variety,Slovakia Red,SK,,
variety,Taupe,SK,,
variety,Tezontle Rojo,MX,,
variety,Usak Gray,TR,,
variety,Usak Yellow,TR,,
variety,Ak,TR,,
variety,Aliaga,TR,,
variety,Amreli Grey,IN,,
variety,Armenia Black,AM,,
variety,Armenia Grey,AM,,
variety,Atlantic Lava,CN,,
variety,Auckland,NZ,,
variety,Austral Black,AU,,
variety,Baltic Grey,ID,,
variety,Basaltina Parvana,AM,,
variety,Basaltina Siciliano,IT,,
variety,Basaltite Lava,IT,,
variety,Basalto,ID,,
variety,Basalto Bauladu,IT,,
variety,Basalto De Piedra,CL,,
variety,Basalto Di Etna,IT,,
variety,Basalto Di Orvieto,IT,,
variety,Basalto Di Suni,IT,,
variety,Basalto Dos Acores,PT,,
variety,Basalto Gerona,ES,,
variety,Basalto Levigado,BR,,
