raw,canonical
polished,Polished
honed,Honed
brushed,Brushed
flamed,Flamed
leathered,Leathered
leather,Leathered
raw,Raw
sandblasted,Sandblasted
sawn cut,Sawn Cut
sawn,Sawn Cut
split face,Split Face
tumbled,Tumbled
antique,Antique
bush hammered,Bush Hammered
acid washed,Acid Washed
flamed and brushed,Flamed and Brushed
honed and brushed,Honed and Brushed
honed and filled,Honed and Filled
honed and unfilled,Honed and Unfilled
polished and filled,Polished and Filled
polished and unfilled,Polished and Unfilled
polished and resined,Polished
polished and fluted,Polished
honed and fluted,Honed
polished and leather,Polished
dual finish - polished/leather,Polished
other,none
velvety,none
aerated,none
honed / matte,Honed
matte,Honed
chiselled,Chiseled
saw cut,Sawn Cut
