token,dimension,canonical,factor
mm,length,m,0.001
millimeter,length,m,0.001
millimetre,length,m,0.001
cm,length,m,0.01
centimeter,length,m,0.01
centimetre,length,m,0.01
m,length,m,1
meter,length,m,1
metre,length,m,1
in,length,m,0.0254
inch,length,m,0.0254
inches,length,m,0.0254
ft,length,m,0.3048
foot,length,m,0.3048
feet,length,m,0.3048
m2,area,m2,1
sqm,area,m2,1
sqmt,area,m2,1
sq.mt,area,m2,1
sq.mt.,area,m2,1
sqmeter,area,m2,1
ft2,area,m2,0.092903
sqft,area,m2,0.092903
sq.ft,area,m2,0.092903
sq.ft.,area,m2,0.092903
kg,weight,kg,1
kilogram,weight,kg,1
ton,weight,kg,1000
tonne,weight,kg,1000
t,weight,kg,1000
lb,weight,kg,0.453592
lbs,weight,kg,0.453592
